"sample_id","estimate_tumor","quantiseq_cd8","epic_caf","epic_bcells","rectangle_aggregated_B_cells","rectangle_aggregated_CAFs","rectangle_aggregated_Tumor_cells","rectangle_aggregated_Dendritic_cells","rectangle_aggregated_Endothelial_cells","rectangle_aggregated_Macrophages","rectangle_aggregated_Monocytes","rectangle_aggregated_NK_cells","rectangle_aggregated_PVL","rectangle_aggregated_T_cells"
"05BR016",0.789518016009711,0.00218260263058289,0.0801274786315819,0.00140157123286131,0.00184447233900105,0.0606427523297712,0.884644116619323,1.17125154456903e-06,0.0274846851574431,0.0253730464913163,6.63466019654904e-06,0,1.73025895866567e-07,1.66747611575391e-06
"18BR007",0.587400049984003,0.0185224901370178,0.159565283117565,0.0113290003953534,0.0667474475351016,0.138547793528315,0.653753677714594,0,0.0347002900904764,0.0769919559791954,0,2.97494844135469e-09,4.67034961527036e-09,0.0283750443371895
"05BR029",0.773859256029731,0.0124660319530334,0.0157587948838047,1.41189421085294e-07,0.00248778109599242,0.0204879628619687,0.660221899581341,0.0112592687830152,0.011088172994683,0.0175328812637816,0.186907617129165,0.00211180780139763,2.19120921402549e-08,0.0576420557053851
"01BR030",0.489777669959365,0.0376777584933309,0.056645906080165,0.0805491486379903,0.504148520423053,0.0138683290298851,0.344413069388613,0.00388056058901753,0.0176314869235063,0.0500167515510703,0,0,0,0.0580998886011475
"09BR001",0.769175945679485,0.001030875519868,0.042152717473206,0.000325031903807553,3.07462349408297e-06,0.102503756028069,0.831120499928064,0.00240519286747022,0.0105296205457454,0.0528360105289756,0.000601838490000857,0,6.98818231793471e-09,0
"11BR056",0.520355410077585,0.0268022038583906,0.427101093474913,0.0373264432550544,0.234344110594988,0.170785935890997,0.437160342420449,0,0.0235495748360134,0.0568684955084149,0.000264925300836288,0,0,0.0689953107521505
"01BR031",0.639776842547193,0.00231673832523563,0.219043224034497,0.00237867553539206,0.032892972242482,0.139743381556565,0.640371626437471,0,0.0477347326272618,0.104973813825773,0.00431429581808314,0,0.0132054913114911,0.0109443365756533
"11BR015",0.860650622895639,0.000106300796357325,0.0446424697344874,0.00165958422857111,0.000870638186320884,0.041619303665158,0.859960900532775,0.00188234468125994,0.0431687925450131,0.0455577054458424,0,0,0.00694031494363117,0
"14BR005",0.786491569285397,0.00248762761220538,0.0556826569671421,0.00201578439817959,0.00293863787159148,0.0372179793950139,0.84958510068689,0,0.033668174238057,0.0751270115211461,0,2.0933583765123e-08,0,5.6427910468361e-05
"11BR017",0.608300426479544,0.0140098008855671,0.203852176715431,0.0518912657663093,0.315295590052668,0.0749914477211945,0.4878574452893,0.00446892499426441,0.0035258746265982,0.0441398789931537,0.002298734396301,4.39389246543634e-08,3.04360970123741e-07,0.0615506462099689
